Time (seconds),sensor name,altitude,azimuth,measure
6.92,LDR,20,0.0,239
7.93,LDR,20,10.58823,351
8.65,LDR,20,21.17647,429
9.37,LDR,20,31.76471,431
10.08,LDR,20,42.35294,437
10.80,LDR,20,52.94117,448
11.51,LDR,20,63.52941,461
12.23,LDR,20,74.11765,470
12.95,LDR,20,84.70588,484
13.70,LDR,20,95.29411,485
14.42,LDR,20,105.8823,486
15.13,LDR,20,116.4706,485
15.85,LDR,20,127.0588,477
16.57,LDR,20,137.647,468
17.29,LDR,20,148.2353,454
18.01,LDR,20,158.8235,441
18.73,LDR,20,169.4118,440
19.45,LDR,20,180.0,222
20.16,LDR,20,190.5882,295
20.91,LDR,20,201.1765,501
21.64,LDR,20,211.7647,604
22.35,LDR,20,222.3529,490
23.07,LDR,20,232.9412,525
23.79,LDR,20,243.5294,576
24.51,LDR,20,254.1176,631
25.23,LDR,20,264.7059,696
25.95,LDR,20,275.2941,801
26.67,LDR,20,285.8824,1012
27.40,LDR,20,296.4706,771
28.13,LDR,20,307.0588,673
28.85,LDR,20,317.647,598
29.56,LDR,20,328.2353,543
30.28,LDR,20,338.8235,497
31.00,LDR,20,349.4117,461
31.72,LDR,30,0.0,399
32.50,LDR,30,11.6129,362
33.28,LDR,30,23.22581,350
34.06,LDR,30,34.83871,348
34.83,LDR,30,46.45162,352
35.65,LDR,30,58.06452,360
36.42,LDR,30,69.67742,369
37.20,LDR,30,81.29033,377
37.98,LDR,30,92.90323,382
38.76,LDR,30,104.5161,384
39.53,LDR,30,116.129,382
40.31,LDR,30,127.7419,377
41.09,LDR,30,139.3548,369
41.87,LDR,30,150.9677,358
42.66,LDR,30,162.5807,347
43.45,LDR,30,174.1935,346
44.23,LDR,30,185.8065,227
45.01,LDR,30,197.4194,360
45.78,LDR,30,209.0322,377
46.56,LDR,30,220.6452,403
47.34,LDR,30,232.2581,442
48.11,LDR,30,243.871,496
48.89,LDR,30,255.4839,549
49.67,LDR,30,267.0968,617
50.48,LDR,30,278.7097,685
51.26,LDR,30,290.3226,693
52.03,LDR,30,301.9355,629
52.81,LDR,30,313.5484,558
53.59,LDR,30,325.1613,503
54.36,LDR,30,336.7742,453
55.14,LDR,30,348.3871,416
55.92,LDR,40,0.0,359
56.77,LDR,40,12.85714,329
57.62,LDR,40,25.71429,318
58.50,LDR,40,38.57143,315
59.34,LDR,40,51.42857,318
60.19,LDR,40,64.28571,323
61.04,LDR,40,77.14285,329
61.89,LDR,40,90.0,333
62.73,LDR,40,102.8571,334
63.58,LDR,40,115.7143,334
64.43,LDR,40,128.5714,329
65.28,LDR,40,141.4286,324
66.12,LDR,40,154.2857,317
67.00,LDR,40,167.1428,314
67.85,LDR,40,180.0,314
68.70,LDR,40,192.8571,322
69.54,LDR,40,205.7143,338
70.39,LDR,40,218.5714,362
71.24,LDR,40,231.4286,396
72.09,LDR,40,244.2857,443
72.93,LDR,40,257.1429,487
73.78,LDR,40,270.0,533
74.63,LDR,40,282.8571,569
75.49,LDR,40,295.7143,549
76.35,LDR,40,308.5714,512
77.20,LDR,40,321.4286,464
78.05,LDR,40,334.2857,421
78.90,LDR,40,347.1428,383
79.75,LDR,50,0.0,336
80.75,LDR,50,15.65217,307
81.75,LDR,50,31.30435,296
82.76,LDR,50,46.95652,293
83.77,LDR,50,62.6087,294
84.77,LDR,50,78.26087,298
85.81,LDR,50,93.91304,298
86.82,LDR,50,109.5652,299
87.83,LDR,50,125.2174,298
88.83,LDR,50,140.8696,294
89.84,LDR,50,156.5217,291
90.85,LDR,50,172.1739,293
91.85,LDR,50,187.8261,299
92.86,LDR,50,203.4782,312
93.86,LDR,50,219.1304,335
94.90,LDR,50,234.7826,366
95.91,LDR,50,250.4348,408
96.91,LDR,50,266.0869,442
97.92,LDR,50,281.7391,468
98.92,LDR,50,297.3913,465
99.93,LDR,50,313.0435,437
100.94,LDR,50,328.6956,401
101.94,LDR,50,344.3478,361
102.95,LDR,60,0.0,317
104.21,LDR,60,20.0,291
105.50,LDR,60,40.0,280
106.75,LDR,60,60.0,277
108.01,LDR,60,80.0,277
109.26,LDR,60,100.0,276
110.52,LDR,60,120.0,277
111.77,LDR,60,140.0,277
113.03,LDR,60,160.0,277
114.28,LDR,60,180.0,284
115.53,LDR,60,200.0,295
116.79,LDR,60,220.0,317
118.04,LDR,60,240.0,346
119.33,LDR,60,260.0,377
120.59,LDR,60,280.0,397
121.84,LDR,60,300.0,396
123.10,LDR,60,320.0,370
124.35,LDR,60,340.0,340
125.61,LDR,70,0.0,303
127.43,LDR,70,30.0,279
129.26,LDR,70,60.0,270
131.08,LDR,70,90.0,267
132.90,LDR,70,120.0,267
134.73,LDR,70,150.0,269
136.59,LDR,70,180.0,278
138.41,LDR,70,210.0,294
140.23,LDR,70,240.0,321
142.06,LDR,70,270.0,342
143.88,LDR,70,300.0,345
145.71,LDR,70,330.0,326
147.53,LDR,80,0.0,291
151.06,LDR,80,60.0,269
154.59,LDR,80,120.0,266
158.12,LDR,80,180.0,275
161.64,LDR,80,240.0,299
165.21,LDR,80,300.0,308
168.74,LDR,90,0.0,282
