Time (seconds),sensor name,altitude,azimuth,measure
414.23,LDR,20,0.0,400
414.94,LDR,20,10.58823,359
415.66,LDR,20,21.17647,397
416.42,LDR,20,31.76471,381
417.13,LDR,20,42.35294,370
417.85,LDR,20,52.94117,366
418.57,LDR,20,63.52941,367
419.29,LDR,20,74.11765,372
420.01,LDR,20,84.70588,383
420.73,LDR,20,95.29411,384
421.45,LDR,20,105.8823,389
422.17,LDR,20,116.4706,392
422.92,LDR,20,127.0588,393
423.64,LDR,20,137.647,389
424.36,LDR,20,148.2353,387
425.07,LDR,20,158.8235,408
425.79,LDR,20,169.4118,355
426.51,LDR,20,180.0,198
427.23,LDR,20,190.5882,413
427.94,LDR,20,201.1765,649
428.66,LDR,20,211.7647,424
429.38,LDR,20,222.3529,395
430.13,LDR,20,232.9412,414
430.85,LDR,20,243.5294,441
431.57,LDR,20,254.1176,471
432.29,LDR,20,264.7059,520
433.01,LDR,20,275.2941,562
433.73,LDR,20,285.8824,599
434.44,LDR,20,296.4706,648
435.16,LDR,20,307.0588,682
435.88,LDR,20,317.647,632
436.63,LDR,20,328.2353,584
437.35,LDR,20,338.8235,540
438.06,LDR,20,349.4117,502
438.78,LDR,30,0.0,440
439.56,LDR,30,11.6129,395
440.34,LDR,30,23.22581,364
441.11,LDR,30,34.83871,340
441.89,LDR,30,46.45162,327
442.67,LDR,30,58.06452,319
443.44,LDR,30,69.67742,317
444.25,LDR,30,81.29033,318
445.03,LDR,30,92.90323,322
445.81,LDR,30,104.5161,324
446.58,LDR,30,116.129,326
447.36,LDR,30,127.7419,327
448.14,LDR,30,139.3548,326
448.91,LDR,30,150.9677,323
449.69,LDR,30,162.5807,325
450.47,LDR,30,174.1935,318
451.28,LDR,30,185.8065,338
452.06,LDR,30,197.4194,449
452.84,LDR,30,209.0322,335
453.61,LDR,30,220.6452,346
454.39,LDR,30,232.2581,368
455.17,LDR,30,243.871,394
455.94,LDR,30,255.4839,441
456.72,LDR,30,267.0968,488
457.49,LDR,30,278.7097,548
458.27,LDR,30,290.3226,630
459.08,LDR,30,301.9355,765
459.86,LDR,30,313.5484,724
460.63,LDR,30,325.1613,615
461.41,LDR,30,336.7742,542
462.19,LDR,30,348.3871,483
462.97,LDR,40,0.0,418
463.81,LDR,40,12.85714,369
464.66,LDR,40,25.71429,335
465.51,LDR,40,38.57143,314
466.36,LDR,40,51.42857,298
467.24,LDR,40,64.28571,287
468.09,LDR,40,77.14285,284
468.94,LDR,40,90.0,283
469.78,LDR,40,102.8571,283
470.63,LDR,40,115.7143,283
471.48,LDR,40,128.5714,283
472.33,LDR,40,141.4286,283
473.17,LDR,40,154.2857,282
474.02,LDR,40,167.1428,282
474.91,LDR,40,180.0,284
475.76,LDR,40,192.8571,290
476.60,LDR,40,205.7143,301
477.45,LDR,40,218.5714,318
478.30,LDR,40,231.4286,342
479.15,LDR,40,244.2857,377
480.00,LDR,40,257.1429,423
480.84,LDR,40,270.0,483
481.69,LDR,40,282.8571,569
482.54,LDR,40,295.7143,705
483.53,LDR,40,308.5714,938
484.38,LDR,40,321.4286,647
485.22,LDR,40,334.2857,538
486.07,LDR,40,347.1428,469
486.92,LDR,50,0.0,396
487.93,LDR,50,15.65217,340
488.93,LDR,50,31.30435,311
489.94,LDR,50,46.95652,289
490.94,LDR,50,62.6087,274
491.95,LDR,50,78.26087,264
492.99,LDR,50,93.91304,261
494.00,LDR,50,109.5652,260
495.00,LDR,50,125.2174,259
496.01,LDR,50,140.8696,258
497.02,LDR,50,156.5217,259
498.02,LDR,50,172.1739,262
499.03,LDR,50,187.8261,271
500.04,LDR,50,203.4782,285
501.05,LDR,50,219.1304,305
502.09,LDR,50,234.7826,332
503.10,LDR,50,250.4348,383
504.11,LDR,50,266.0869,440
505.11,LDR,50,281.7391,520
506.12,LDR,50,297.3913,587
507.13,LDR,50,313.0435,598
508.14,LDR,50,328.6956,522
509.14,LDR,50,344.3478,450
510.15,LDR,60,0.0,374
511.41,LDR,60,20.0,317
512.70,LDR,60,40.0,291
513.95,LDR,60,60.0,271
515.20,LDR,60,80.0,258
516.46,LDR,60,100.0,251
517.71,LDR,60,120.0,248
518.97,LDR,60,140.0,248
520.22,LDR,60,160.0,253
521.47,LDR,60,180.0,262
522.73,LDR,60,200.0,277
523.98,LDR,60,220.0,301
525.23,LDR,60,240.0,337
526.53,LDR,60,260.0,387
527.78,LDR,60,280.0,436
529.04,LDR,60,300.0,478
530.29,LDR,60,320.0,466
531.54,LDR,60,340.0,423
532.80,LDR,70,0.0,351
534.62,LDR,70,30.0,298
536.45,LDR,70,60.0,272
538.27,LDR,70,90.0,257
540.10,LDR,70,120.0,251
541.94,LDR,70,150.0,254
543.77,LDR,70,180.0,265
545.59,LDR,70,210.0,288
547.42,LDR,70,240.0,327
549.24,LDR,70,270.0,379
551.07,LDR,70,300.0,406
552.89,LDR,70,330.0,392
554.72,LDR,80,0.0,326
558.24,LDR,80,60.0,279
561.77,LDR,80,120.0,264
565.30,LDR,80,180.0,274
568.87,LDR,80,240.0,313
572.39,LDR,80,300.0,354
575.92,LDR,90,0.0,301
