Time (seconds),sensor name,altitude,azimuth,measure
6.89,BH1750,20,0.0,12.5
7.71,BH1750,20,10.58823,16.66667
8.53,BH1750,20,21.17647,20.0
9.35,BH1750,20,31.76471,18.33333
10.16,BH1750,20,42.35294,16.66667
10.98,BH1750,20,52.94117,16.66667
11.80,BH1750,20,63.52941,16.66667
12.65,BH1750,20,74.11765,16.66667
13.48,BH1750,20,84.70588,17.5
14.30,BH1750,20,95.29411,18.33333
15.11,BH1750,20,105.8823,18.33333
15.94,BH1750,20,116.4706,19.16667
16.76,BH1750,20,127.0588,19.16667
17.58,BH1750,20,137.647,19.16667
18.39,BH1750,20,148.2353,18.33333
19.25,BH1750,20,158.8235,17.5
20.07,BH1750,20,169.4118,17.5
20.89,BH1750,20,180.0,5.0
21.71,BH1750,20,190.5882,16.66667
22.53,BH1750,20,201.1765,74.16667
23.35,BH1750,20,211.7647,43.33333
24.17,BH1750,20,222.3529,19.16667
24.99,BH1750,20,232.9412,21.66667
25.84,BH1750,20,243.5294,25.0
26.66,BH1750,20,254.1176,29.16667
27.48,BH1750,20,264.7059,38.33333
28.30,BH1750,20,275.2941,47.5
29.12,BH1750,20,285.8824,63.33333
29.94,BH1750,20,296.4706,85.83333
30.76,BH1750,20,307.0588,110.8333
31.61,BH1750,20,317.647,75.83333
32.44,BH1750,20,328.2353,55.83333
33.26,BH1750,20,338.8235,40.83333
34.07,BH1750,20,349.4117,35.83333
34.90,BH1750,30,0.0,25.0
35.77,BH1750,30,11.6129,18.33333
36.65,BH1750,30,23.22581,15.83333
37.53,BH1750,30,34.83871,14.16667
38.45,BH1750,30,46.45162,12.5
39.32,BH1750,30,58.06452,11.66667
40.20,BH1750,30,69.67742,11.66667
41.08,BH1750,30,81.29033,11.66667
41.96,BH1750,30,92.90323,12.5
42.84,BH1750,30,104.5161,12.5
43.71,BH1750,30,116.129,12.5
44.59,BH1750,30,127.7419,12.5
45.50,BH1750,30,139.3548,12.5
46.38,BH1750,30,150.9677,12.5
47.25,BH1750,30,162.5807,11.66667
48.13,BH1750,30,174.1935,11.66667
49.01,BH1750,30,185.8065,11.66667
49.88,BH1750,30,197.4194,23.33333
50.76,BH1750,30,209.0322,13.33333
51.64,BH1750,30,220.6452,14.16667
52.55,BH1750,30,232.2581,15.83333
53.43,BH1750,30,243.871,19.16667
54.31,BH1750,30,255.4839,25.0
55.19,BH1750,30,267.0968,33.33333
56.06,BH1750,30,278.7097,46.66667
56.94,BH1750,30,290.3226,77.5
57.81,BH1750,30,301.9355,251.6666
58.69,BH1750,30,313.5484,169.1667
59.61,BH1750,30,325.1613,65.83333
60.49,BH1750,30,336.7742,40.83333
61.36,BH1750,30,348.3871,30.83333
62.24,BH1750,40,0.0,23.33333
63.19,BH1750,40,12.85714,15.83333
64.14,BH1750,40,25.71429,13.33333
65.08,BH1750,40,38.57143,11.66667
66.03,BH1750,40,51.42857,10.83333
67.02,BH1750,40,64.28571,10.0
67.96,BH1750,40,77.14285,9.166666
68.91,BH1750,40,90.0,9.166666
69.86,BH1750,40,102.8571,9.166666
70.81,BH1750,40,115.7143,9.166666
71.76,BH1750,40,128.5714,9.166666
72.70,BH1750,40,141.4286,9.166666
73.69,BH1750,40,154.2857,9.166666
74.64,BH1750,40,167.1428,9.166666
75.59,BH1750,40,180.0,9.166666
76.53,BH1750,40,192.8571,10.0
