Time (seconds),sensor name,altitude,azimuth,measure
399.80,BH1750,20,0.0,17.5
400.62,BH1750,20,10.58823,27.5
401.44,BH1750,20,21.17647,31.66667
402.30,BH1750,20,31.76471,27.5
403.12,BH1750,20,42.35294,24.16667
403.94,BH1750,20,52.94117,21.66667
404.76,BH1750,20,63.52941,20.0
405.58,BH1750,20,74.11765,18.33333
406.40,BH1750,20,84.70588,17.5
407.22,BH1750,20,95.29411,17.5
408.04,BH1750,20,105.8823,17.5
409.01,BH1750,20,116.4706,17.5
409.83,BH1750,20,127.0588,17.5
410.65,BH1750,20,137.647,17.5
411.47,BH1750,20,148.2353,18.33333
412.29,BH1750,20,158.8235,40.0
413.11,BH1750,20,169.4118,16.66667
413.93,BH1750,20,180.0,20.83333
414.75,BH1750,20,190.5882,30.83333
415.61,BH1750,20,201.1765,65.83333
416.43,BH1750,20,211.7647,17.5
417.25,BH1750,20,222.3529,17.5
418.07,BH1750,20,232.9412,18.33333
418.88,BH1750,20,243.5294,18.33333
419.70,BH1750,20,254.1176,20.0
420.52,BH1750,20,264.7059,21.66667
421.38,BH1750,20,275.2941,24.16667
422.19,BH1750,20,285.8824,28.33333
423.02,BH1750,20,296.4706,32.5
423.83,BH1750,20,307.0588,36.66667
424.65,BH1750,20,317.647,41.66667
425.47,BH1750,20,328.2353,45.83333
426.29,BH1750,20,338.8235,50.83333
427.11,BH1750,20,349.4117,45.0
427.96,BH1750,30,0.0,36.66667
428.84,BH1750,30,11.6129,33.33333
429.72,BH1750,30,23.22581,28.33333
430.59,BH1750,30,34.83871,23.33333
431.47,BH1750,30,46.45162,19.16667
432.35,BH1750,30,58.06452,17.5
433.22,BH1750,30,69.67742,15.0
434.10,BH1750,30,81.29033,14.16667
435.01,BH1750,30,92.90323,13.33333
435.89,BH1750,30,104.5161,12.5
436.77,BH1750,30,116.129,12.5
437.64,BH1750,30,127.7419,11.66667
438.52,BH1750,30,139.3548,12.5
439.40,BH1750,30,150.9677,12.5
440.27,BH1750,30,162.5807,13.33333
441.19,BH1750,30,174.1935,12.5
442.06,BH1750,30,185.8065,35.0
