Time (seconds),sensor name,altitude,azimuth,measure
6.12,LDR,20,0.0,3
6.92,LDR,20,10.58823,8
7.64,LDR,20,21.17647,16
8.36,LDR,20,31.76471,22
9.08,LDR,20,42.35294,29
9.80,LDR,20,52.94117,31
10.52,LDR,20,63.52941,33
11.23,LDR,20,74.11765,36
11.95,LDR,20,84.70588,38
12.71,LDR,20,95.29411,38
13.42,LDR,20,105.8823,23
14.14,LDR,20,116.4706,14
14.86,LDR,20,127.0588,25
15.58,LDR,20,137.647,9
16.29,LDR,20,148.2353,5
17.02,LDR,20,158.8235,8
17.73,LDR,20,169.4118,19
18.45,LDR,20,180.0,29
19.17,LDR,20,190.5882,15
19.89,LDR,20,201.1765,44
20.64,LDR,20,211.7647,41
21.35,LDR,20,222.3529,83
22.07,LDR,20,232.9412,80
22.79,LDR,20,243.5294,95
23.51,LDR,20,254.1176,78
24.23,LDR,20,264.7059,225
24.94,LDR,20,275.2941,105
25.66,LDR,20,285.8824,68
26.38,LDR,20,296.4706,54
27.10,LDR,20,307.0588,32
27.85,LDR,20,317.647,22
28.57,LDR,20,328.2353,15
29.29,LDR,20,338.8235,12
30.01,LDR,20,349.4117,7
30.72,LDR,30,0.0,3
31.50,LDR,30,11.6129,8
32.28,LDR,30,23.22581,21
33.05,LDR,30,34.83871,28
33.83,LDR,30,46.45162,36
34.61,LDR,30,58.06452,37
35.40,LDR,30,69.67742,38
36.19,LDR,30,81.29033,38
36.96,LDR,30,92.90323,34
37.74,LDR,30,104.5161,21
38.51,LDR,30,116.129,22
39.29,LDR,30,127.7419,37
40.07,LDR,30,139.3548,13
40.84,LDR,30,150.9677,8
41.62,LDR,30,162.5807,14
42.39,LDR,30,174.1935,27
43.17,LDR,30,185.8065,39
43.98,LDR,30,197.4194,54
44.76,LDR,30,209.0322,67
45.53,LDR,30,220.6452,101
46.31,LDR,30,232.2581,133
47.09,LDR,30,243.871,115
47.86,LDR,30,255.4839,123
48.64,LDR,30,267.0968,217
49.41,LDR,30,278.7097,154
50.19,LDR,30,290.3226,138
50.97,LDR,30,301.9355,98
51.78,LDR,30,313.5484,40
52.56,LDR,30,325.1613,39
53.33,LDR,30,336.7742,34
54.11,LDR,30,348.3871,19
54.89,LDR,40,0.0,16
55.74,LDR,40,12.85714,31
56.58,LDR,40,25.71429,29
57.43,LDR,40,38.57143,32
58.28,LDR,40,51.42857,38
59.13,LDR,40,64.28571,31
60.01,LDR,40,77.14285,37
60.86,LDR,40,90.0,38
61.71,LDR,40,102.8571,39
62.55,LDR,40,115.7143,31
63.40,LDR,40,128.5714,39
64.25,LDR,40,141.4286,22
65.10,LDR,40,154.2857,22
65.94,LDR,40,167.1428,26
66.79,LDR,40,180.0,33
67.64,LDR,40,192.8571,41
68.49,LDR,40,205.7143,41
69.37,LDR,40,218.5714,81
70.22,LDR,40,231.4286,70
71.07,LDR,40,244.2857,91
71.92,LDR,40,257.1429,112
72.76,LDR,40,270.0,134
73.61,LDR,40,282.8571,120
74.46,LDR,40,295.7143,105
75.31,LDR,40,308.5714,78
76.15,LDR,40,321.4286,61
77.00,LDR,40,334.2857,46
77.89,LDR,40,347.1428,39
78.74,LDR,50,0.0,39
79.74,LDR,50,15.65217,36
80.75,LDR,50,31.30435,35
81.76,LDR,50,46.95652,37
82.76,LDR,50,62.6087,36
83.77,LDR,50,78.26087,33
84.78,LDR,50,93.91304,18
85.79,LDR,50,109.5652,38
86.79,LDR,50,125.2174,32
87.83,LDR,50,140.8696,31
88.84,LDR,50,156.5217,29
89.85,LDR,50,172.1739,32
90.86,LDR,50,187.8261,39
91.86,LDR,50,203.4782,46
92.87,LDR,50,219.1304,41
93.87,LDR,50,234.7826,66
94.88,LDR,50,250.4348,77
95.88,LDR,50,266.0869,40
96.89,LDR,50,281.7391,82
97.90,LDR,50,297.3913,79
98.94,LDR,50,313.0435,65
99.94,LDR,50,328.6956,54
100.95,LDR,50,344.3478,46
101.95,LDR,60,0.0,42
103.21,LDR,60,20.0,38
104.46,LDR,60,40.0,36
105.72,LDR,60,60.0,34
106.97,LDR,60,80.0,33
108.22,LDR,60,100.0,31
109.48,LDR,60,120.0,31
110.73,LDR,60,140.0,32
112.03,LDR,60,160.0,35
113.28,LDR,60,180.0,39
114.53,LDR,60,200.0,46
115.79,LDR,60,220.0,53
117.04,LDR,60,240.0,60
118.30,LDR,60,260.0,62
119.55,LDR,60,280.0,74
120.81,LDR,60,300.0,36
122.06,LDR,60,320.0,52
123.31,LDR,60,340.0,48
124.57,LDR,70,0.0,44
126.43,LDR,70,30.0,40
128.25,LDR,70,60.0,36
130.08,LDR,70,90.0,35
131.90,LDR,70,120.0,36
133.72,LDR,70,150.0,38
135.55,LDR,70,180.0,43
137.37,LDR,70,210.0,48
139.20,LDR,70,240.0,58
141.02,LDR,70,270.0,58
142.84,LDR,70,300.0,60
144.67,LDR,70,330.0,53
146.53,LDR,80,0.0,46
150.06,LDR,80,60.0,40
153.59,LDR,80,120.0,40
157.11,LDR,80,180.0,45
160.64,LDR,80,240.0,52
164.17,LDR,80,300.0,53
167.70,LDR,90,0.0,47
